,Prompt,Correct Object,GPT-reply,Status
0,"Denzel Washington:(1954-12-28)::Mike Figgis:X; X is
1) 1943-03-20
2) 1963-03-18
3) 1936-12-25
4) 1948-02-28",1948-02-28,1) 1943-03-20,False
1,"Mike Figgis:(1948-02-28)::William Manchester:X; X is
1) 1973-05-21
2) 1922-07-25
3) 1944-09-01
4) 1922-04-01",1922-04-01,2) 1922-07-25,False
2,"William Manchester:(1922-04-01)::Louisa May Alcott:X; X is
1) 1832-11-29
2) 1929-11-30
3) 1948-02-28
4) 1968-12-08",1832-11-29,1) 1832-11-29,True
3,"Louisa May Alcott:(1832-11-29)::Sam Brownback:X; X is
1) 1956-09-12
2) 1974-03-13
3) 1930-09-07
4) 1894-09-15",1956-09-12,1) 1956-09-12,True
4,"Sam Brownback:(1956-09-12)::Lenny Wilkens:X; X is
1) 1937-10-28
2) 1926-08-03
3) 1949-08-31
4) 1969-01-19",1937-10-28,1) 1937-10-28,True
5,"Lenny Wilkens:(1937-10-28)::Lena Horne:X; X is
1) 1971-01-11
2) 1942-04-04
3) 1917-06-30
4) 1966-04-09",1917-06-30,3) 1917-06-30,True
6,"Lena Horne:(1917-06-30)::Louis Comfort Tiffany:X; X is
1) 1848-02-18
2) 1922-12-28
3) 1941-06-05
4) 1969-05-15",1848-02-18,1) 1848-02-18,True
7,"Louis Comfort Tiffany:(1848-02-18)::Luciano Pavarotti:X; X is
1) 1935-10-12
2) 1969-04-27
3) 1969-10-19
4) 1963-06-25",1935-10-12,1) 1935-10-12,True
8,"Luciano Pavarotti:(1935-10-12)::Moses Pendleton:X; X is
1) 1838-10-25
2) 1949-03-28
3) 1955-01-18
4) 1919-07-15",1949-03-28,2) 1949-03-28,True
9,"Moses Pendleton:(1949-03-28)::Kenneth Lonergan:X; X is
1) 1962-11-11
2) 1953-09-22
3) 1958-07-14
4) 1962-10-16",1962-10-16,1) 1962-11-11,False
10,"Kenneth Lonergan:(1962-10-16)::Peter Braunstein:X; X is
1) 1931-09-22
2) 1964-01-26
3) 1989-02-11
4) 1933-02-26",1964-01-26,2) 1964-01-26,True
11,"Peter Braunstein:(1964-01-26)::Michael Weller:X; X is
1) 1959-08-09
2) 1927-04-27
3) 1961-09-07
4) 1942-01-01",1942-01-01,3) 1961-09-07,False
12,"Michael Weller:(1942-01-01)::Jose Francisco Ruiz Massieu:X; X is
1) 1940-09-11
2) 1953-12-21
3) 1946-07-22
4) 1944-01-01",1946-07-22,1) 1940-09-11,False
13,"Jose Francisco Ruiz Massieu:(1946-07-22)::Julia Child:X; X is
1) 1900-11-14
2) 1948-03-15
3) 1967-06-20
4) 1912-08-15",1912-08-15,4) 1912-08-15,True
14,"Julia Child:(1912-08-15)::Charles Gwathmey:X; X is
1) 1824-12-20
2) 1953-06-10
3) 1938-06-19
4) 1949-10-21",1938-06-19,3) 1938-06-19,True
15,"Charles Gwathmey:(1938-06-19)::Vojislav Kostunica:X; X is
1) 1928-07-26
2) 1955-04-24
3) 1944-03-24
4) 1940-08-28",1944-03-24,1) 1928-07-26,False
16,"Vojislav Kostunica:(1944-03-24)::John V Lindsay:X; X is
1) 1948-10-01
2) 1921-11-24
3) 1917-08-14
4) 1770-12-16",1921-11-24,2) 1921-11-24,True
17,"John V Lindsay:(1921-11-24)::Alan Bennett:X; X is
1) 1959-06-10
2) 1956-08-04
3) 1934-05-09
4) 1940-04-12",1934-05-09,3) 1934-05-09,True
18,"Alan Bennett:(1934-05-09)::Marty McSorley:X; X is
1) 1957-10-04
2) 1940-07-23
3) 1954-12-05
4) 1963-05-18",1963-05-18,1) 1957-10-04,False
19,"Marty McSorley:(1963-05-18)::Jamil Mahuad:X; X is
1) 1953-10-12
2) 1949-11-08
3) 1949-07-29
4) 1968-08-23",1949-07-29,3) 1949-07-29,True
20,"Jamil Mahuad:(1949-07-29)::Wayne Chrebet:X; X is
1) 1930-08-01
2) 1931-10-20
3) 1973-08-14
4) 1930-06-24",1973-08-14,3) 1973-08-14,True
21,"Wayne Chrebet:(1973-08-14)::Frank Luntz:X; X is
1) 1963-07-24
2) 1947-10-24
3) 1922-12-28
4) 1962-02-23",1962-02-23,1) 1963-07-24,False
22,"Frank Luntz:(1962-02-23)::Irving Berlin:X; X is
1) 1888-05-11
2) 1919-07-15
3) 1963-04-13
4) 1966-01-01",1888-05-11,1) 1888-05-11,True
23,"Irving Berlin:(1888-05-11)::Thomas Johansson:X; X is
1) 1931-10-24
2) 1969-08-18
3) 1944-09-01
4) 1975-03-24",1975-03-24,2) 1969-08-18,False
24,"Thomas Johansson:(1975-03-24)::David Grossman:X; X is
1) 1926-10-15
2) 1972-02-15
3) 1954-01-25
4) 1975-06-07",1954-01-25,4) 1975-06-07,False
25,"David Grossman:(1954-01-25)::Christine Todd Whitman:X; X is
1) 1946-09-26
2) 1959-08-17
3) 1968-09-28
4) 1943-03-31",1946-09-26,1) 1946-09-26,True
26,"Christine Todd Whitman:(1946-09-26)::George Plimpton:X; X is
1) 1972-05-01
2) 1949-05-23
3) 1927-03-18
4) 1932-07-28",1927-03-18,3) 1927-03-18,True
27,"George Plimpton:(1927-03-18)::Michael Winterbottom:X; X is
1) 1969-04-03
2) 1940-10-20
3) 1945-10-14
4) 1961-03-29",1961-03-29,4) 1961-03-29,True
28,"Michael Winterbottom:(1961-03-29)::Celia Cruz:X; X is
1) 1973-04-14
2) 1962-01-17
3) 1969-11-29
4) 1925-10-21",1925-10-21,4) 1925-10-21,True
29,"Celia Cruz:(1925-10-21)::Sasha Cohen:X; X is
1) 1953-03-04
2) 1984-10-26
3) 1946-05-20
4) 1946-09-17",1984-10-26,2) 1984-10-26,True
30,"Sasha Cohen:(1984-10-26)::Marguerite Duras:X; X is
1) 1914-09-21
2) 1967-01-01
3) 1953-12-06
4) 1914-04-04",1914-04-04,1) 1914-04-04,True
31,"Marguerite Duras:(1914-04-04)::Liamine Zeroual:X; X is
1) 1967-02-19
2) 1958-05-29
3) 1941-07-03
4) 1952-08-24",1941-07-03,3) 1941-07-03,True
32,"Liamine Zeroual:(1941-07-03)::Dwight Howard:X; X is
1) 1977-10-12
2) 1947-03-19
3) 1950-06-18
4) 1985-12-08",1985-12-08,4) 1985-12-08,True
33,"Dwight Howard:(1985-12-08)::George Lucas:X; X is
1) 1931-01-17
2) 1942-11-04
3) 1944-05-14
4) 1946-12-18",1944-05-14,3) 1944-05-14,True
34,"George Lucas:(1944-05-14)::Karl Lagerfeld:X; X is
1) 1935-09-02
2) 1931-02-06
3) 1933-09-10
4) 1938-01-28",1933-09-10,2) 1931-02-06,False
35,"Karl Lagerfeld:(1933-09-10)::Zaha Hadid:X; X is
1) 1946-09-22
2) 1943-07-11
3) 1948-01-27
4) 1950-10-31",1950-10-31,1) 1946-09-22,False
36,"Zaha Hadid:(1950-10-31)::Nicole Kidman:X; X is
1) 1967-06-20
2) 1950-04-11
3) 1943-09-25
4) 1897-11-08",1967-06-20,1) 1967-06-20,True
37,"Nicole Kidman:(1967-06-20)::David Vitter:X; X is
1) 1961-05-03
2) 1928-06-03
3) 1963-05-10
4) 1967-12-06",1961-05-03,1) 1961-05-03,True
38,"David Vitter:(1961-05-03)::Sebastian Telfair:X; X is
1) 1960-01-15
2) 1882-06-17
3) 1985-06-09
4) 1935-07-17",1985-06-09,3) 1985-06-09,True
39,"Sebastian Telfair:(1985-06-09)::Jerry Reinsdorf:X; X is
1) 1987-01-30
2) 1936-02-25
3) 1938-03-02
4) 1947-04-22",1936-02-25,2) 1936-02-25,True
40,"Jerry Reinsdorf:(1936-02-25)::Paris Hilton:X; X is
1) 1977-02-13
2) 1932-08-01
3) 1925-02-02
4) 1981-02-17",1981-02-17,4) 1981-02-17,True
41,"Paris Hilton:(1981-02-17)::Alfred Kazin:X; X is
1) 1940-02-08
2) 1911-09-02
3) 1915-06-05
4) 1931-06-02",1915-06-05,2) 1911-09-02,False
42,"Alfred Kazin:(1915-06-05)::Vaslav Nijinsky:X; X is
1) 1946-10-08
2) 1889-03-12
3) 1951-01-01
4) 1968-07-13",1889-03-12,2) 1889-03-12,True
43,"Vaslav Nijinsky:(1889-03-12)::Robin Ventura:X; X is
1) 1981-08-08
2) 1967-07-14
3) 1930-10-17
4) 1942-08-10",1967-07-14,2) 1967-07-14,True
44,"Robin Ventura:(1967-07-14)::Jack Miles:X; X is
1) 1917-12-18
2) 1951-11-22
3) 1942-07-30
4) 1973-04-14",1942-07-30,2) 1951-11-22,False
45,"Jack Miles:(1942-07-30)::John Lithgow:X; X is
1) 1966-03-25
2) 1957-12-13
3) 1945-10-19
4) 1938-10-28",1945-10-19,3) 1945-10-19,True
46,"John Lithgow:(1945-10-19)::William H Donaldson:X; X is
1) 1931-06-02
2) 1972-10-16
3) 1943-01-17
4) 1948-03-04",1931-06-02,1) 1931-06-02,True
47,"William H Donaldson:(1931-06-02)::Ike Hilliard:X; X is
1) 1968-07-03
2) 1926-05-26
3) 1963-05-24
4) 1976-04-05",1976-04-05,1) 1968-07-03,False
48,"Ike Hilliard:(1976-04-05)::Isaac Mizrahi:X; X is
1) 1973-01-10
2) 1961-10-14
3) 1923-05-27
4) 1924-01-31",1961-10-14,2) 1961-10-14,True
49,"Isaac Mizrahi:(1961-10-14)::Mickey Mantle:X; X is
1) 1959-12-30
2) 1972-03-17
3) 1931-10-20
4) 1949-05-23",1931-10-20,3) 1931-10-20,True
50,"Mickey Mantle:(1931-10-20)::Gray Davis:X; X is
1) 1940-02-09
2) 1942-12-26
3) 1936-11-19
4) 1928-09-14",1942-12-26,1) 1940-02-09,False
51,"Gray Davis:(1942-12-26)::Tino Martinez:X; X is
1) 1965-09-09
2) 1918-03-20
3) 1942-11-28
4) 1967-12-07",1967-12-07,1) 1965-09-09,False
52,"Tino Martinez:(1967-12-07)::Wim Wenders:X; X is
1) 1935-09-16
2) 1941-10-05
3) 1945-08-14
4) 1956-04-14",1945-08-14,3) 1945-08-14,True
53,"Wim Wenders:(1945-08-14)::Yefim Bronfman:X; X is
1) 1942-01-05
2) 1897-11-08
3) 1958-04-10
4) 1917-08-14",1958-04-10,3) 1958-04-10,True
54,"Yefim Bronfman:(1958-04-10)::Todd Haynes:X; X is
1) 1890-10-02
2) 1961-10-14
3) 1941-09-16
4) 1961-01-02",1961-01-02,2) 1961-10-14,False
55,"Todd Haynes:(1961-01-02)::Alan Cowell:X; X is
1) 1947-03-16
2) 1924-01-31
3) 1958-12-31
4) 1964-11-16",1947-03-16,1) 1947-03-16,True
56,"Alan Cowell:(1947-03-16)::Laurence H Silberman:X; X is
1) 1935-10-12
2) 1931-01-16
3) 1949-11-08
4) 1894-09-15",1935-10-12,1) 1935-10-12,True
57,"Laurence H Silberman:(1935-10-12)::Gunter Grass:X; X is
1) 1912-07-14
2) 1927-10-16
3) 1953-09-05
4) 1957-12-13",1927-10-16,2) 1927-10-16,True
58,"Gunter Grass:(1927-10-16)::Chuck Hagel:X; X is
1) 1968-02-14
2) 1945-08-15
3) 1946-10-04
4) 1953-11-25",1946-10-04,3) 1946-10-04,True
59,"Chuck Hagel:(1946-10-04)::Robert L Nardelli:X; X is
1) 1948-05-17
2) 1952-06-19
3) 1939-04-02
4) 1860-07-07",1948-05-17,1) 1948-05-17,True
60,"Robert L Nardelli:(1948-05-17)::Steve Phillips:X; X is
1) 1943-07-22
2) 1961-04-22
3) 1963-05-18
4) 1960-09-09",1963-05-18,"This seems like a comparison of names to dates possibly birth dates but without context or information on who ""Steve Phillips"" is, it's not possible to select the correct option. The correct answer could be any of the listed options: 1) 1943-07-22, 2) 1961-04-22, 3) 1963-05-18 or 4) 1960-09-09.",True
61,"Steve Phillips:(1963-05-18)::Calvert Vaux:X; X is
1) 1958-07-14
2) 1824-12-20
3) 1954-01-01
4) 1928-03-31",1824-12-20,2) 1824-12-20,True
62,"Calvert Vaux:(1824-12-20)::Barry Levinson:X; X is
1) 1990-10-24
2) 1962-03-01
3) 1942-04-06
4) 1945-12-05",1942-04-06,3) 1942-04-06,True
