,Prompt,Correct Object,GPT-reply,Status
0,Lyle Williams:(November 2008)::Eko Maulana Ali:X; X is July 2013,July 2013,False,False
1,Eko Maulana Ali:(July 2013)::Arsenio Chirinos:X; X is October 2015,October 2015,False,False
2,Arsenio Chirinos:(October 2015)::John Cloake:X; X is December 2012,July 2014,False,True
3,John Cloake:(July 2014)::Cara McCollum:X; X is February 2016,February 2016,True,True
4,Cara McCollum:(February 2016)::LÃ¡zaro Blanco:X; X is July 2011,May 2011,False,True
5,LÃ¡zaro Blanco:(May 2011)::Raul Solnado:X; X is August 2009,August 2009,True,True
6,Raul Solnado:(August 2009)::Ken Orsatti:X; X is August 2010,August 2010,False,False
7,Ken Orsatti:(August 2010)::Alan Seymour:X; X is March 2015,March 2015,False,False
8,Alan Seymour:(March 2015)::Sir Brian Talboys:X; X is April 2015,June 2012,False,True
9,Sir Brian Talboys:(June 2012)::Robert Jeangerard:X; X is May 2011,July 2014,False,True
10,Robert Jeangerard:(July 2014)::John E. Brooks:X; X is July 2012,July 2012,False,False
11,John E. Brooks:(July 2012)::Susan Luckey:X; X is December 2012,November 2012,True,False
12,Susan Luckey:(November 2012)::Kenchappa Varadaraj:X; X is April 2016,December 2011,False,True
13,Kenchappa Varadaraj:(December 2011)::E. R. Braithwaite:X; X is May 2011,December 2016,False,True
14,E. R. Braithwaite:(December 2016)::Zeke Bella:X; X is April 2015,November 2013,False,True
15,Zeke Bella:(November 2013)::Puck Oversloot:X; X is January 2016,January 2009,True,False
16,Puck Oversloot:(January 2009)::Jerry Leiber:X; X is August 2011,August 2011,True,True
17,Jerry Leiber:(August 2011)::Nelson Mandela:X; X is January 2016,December 2013,False,True
18,Nelson Mandela:(December 2013)::Rob Williams:X; X is March 2014,March 2014,False,False
19,Rob Williams:(March 2014)::Samih Darwazah:X; X is May 2015,May 2015,True,True
20,Samih Darwazah:(May 2015)::Allan McKeown:X; X is December 2013,December 2013,True,True
21,Allan McKeown:(December 2013)::Steven Gilborn:X; X is May 2014,January 2009,False,True
22,Steven Gilborn:(January 2009)::Gary Glick:X; X is December 2011,February 2015,False,True
23,Gary Glick:(February 2015)::Paul-Louis CarriÃ¨re:X; X is February 2008,February 2008,False,False
24,Paul-Louis CarriÃ¨re:(February 2008)::Harry Galbreath:X; X is July 2010,July 2010,False,False
25,Harry Galbreath:(July 2010)::David C. Copley:X; X is June 2011,November 2012,False,True
26,David C. Copley:(November 2012)::Luigi Filippo D'Amico:X; X is April 2007,April 2007,False,False
27,Luigi Filippo D'Amico:(April 2007)::John Kerr:X; X is July 2016,July 2016,False,False
28,John Kerr:(July 2016)::ZoltÃ¡n PÃ¡lkovÃ¡cs:X; X is December 2008,September 2010,False,True
29,ZoltÃ¡n PÃ¡lkovÃ¡cs:(September 2010)::Carlos Camus:X; X is July 2007,March 2014,False,True
30,Carlos Camus:(March 2014)::John Marzano:X; X is June 2010,April 2008,False,True
31,John Marzano:(April 2008)::Luis Alberto Monge:X; X is November 2016,November 2016,True,True
32,Luis Alberto Monge:(November 2016)::Vagrich Bakhchanyan:X; X is December 2012,November 2009,False,True
33,Vagrich Bakhchanyan:(November 2009)::Bernard Archard:X; X is May 2008,May 2008,False,False
34,Bernard Archard:(May 2008)::Abdirizak Haji Hussein:X; X is January 2014,January 2014,True,True
35,Abdirizak Haji Hussein:(January 2014)::Antonio DÃ_az Jurado:X; X is April 2013,April 2013,False,False
36,Antonio DÃ_az Jurado:(April 2013)::Tomasi Kulimoetoke II:X; X is May 2007,May 2007,True,True
37,Tomasi Kulimoetoke II:(May 2007)::Chu Fu-Sung:X; X is May 2012,June 2008,False,True
38,Chu Fu-Sung:(June 2008)::Yogi Berra:X; X is September 2015,September 2015,True,True
39,Yogi Berra:(September 2015)::Len Phillips:X; X is December 2011,December 2011,False,False
40,Len Phillips:(December 2011)::Luigi Padovese:X; X is October 2010,June 2010,False,True
41,Luigi Padovese:(June 2010)::Meldric Daluz:X; X is August 2011,August 2011,False,False
42,Meldric Daluz:(August 2011)::Zalman King:X; X is February 2012,February 2012,True,True
43,Zalman King:(February 2012)::Shay Duffin:X; X is March 2012,April 2010,False,True
44,Shay Duffin:(April 2010)::Helen Beverley:X; X is July 2010,July 2011,False,True
45,Helen Beverley:(July 2011)::CÃ©cile Aubry:X; X is July 2010,July 2010,True,True
46,CÃ©cile Aubry:(July 2010)::Robert W. Castle:X; X is October 2012,October 2012,False,False
47,Robert W. Castle:(October 2012)::Denzil Freeth:X; X is April 2010,April 2010,False,False
48,Denzil Freeth:(April 2010)::High Chaparral:X; X is April 2014,December 2014,False,True
49,High Chaparral:(December 2014)::Antonio Chocano:X; X is May 2009,May 2009,False,False
50,Antonio Chocano:(May 2009)::Phyllis Hodges Boyce:X; X is May 2010,May 2010,False,False
51,Phyllis Hodges Boyce:(May 2010)::Dorothy Jelicich:X; X is March 2010,April 2015,False,True
52,Dorothy Jelicich:(April 2015)::Khalid El Bakraoui:X; X is October 2013,March 2016,False,True
53,Khalid El Bakraoui:(March 2016)::Don McIver:X; X is November 2015,August 2016,False,True
54,Don McIver:(August 2016)::Melissa Mathison:X; X is August 2013,November 2015,False,True
55,Melissa Mathison:(November 2015)::Vladimir Dolbonosov:X; X is September 2014,September 2014,False,False
56,Vladimir Dolbonosov:(September 2014)::Al Molinaro:X; X is May 2011,October 2015,False,True
57,Al Molinaro:(October 2015)::Sammy Baugh:X; X is December 2008,December 2008,True,True
58,Sammy Baugh:(December 2008)::RaÃºl Arsenio Casado:X; X is July 2010,July 2010,False,False
59,RaÃºl Arsenio Casado:(July 2010)::Vince Camuto:X; X is January 2015,January 2015,True,True
60,Vince Camuto:(January 2015)::Renata Fronzi:X; X is July 2010,April 2008,False,True
61,Renata Fronzi:(April 2008)::Dave MacFarlane:X; X is October 2013,October 2013,False,False
62,Dave MacFarlane:(October 2013)::Emilio Q. Daddario:X; X is July 2010,July 2010,False,False
63,Emilio Q. Daddario:(July 2010)::Betty Driver:X; X is October 2011,October 2011,True,True
64,Betty Driver:(October 2011)::Frank Vaughan:X; X is July 2011,July 2014,True,False
65,Frank Vaughan:(July 2014)::Dick Flowers:X; X is November 2010,May 2010,False,True
66,Dick Flowers:(May 2010)::Trevor Obst:X; X is December 2015,December 2015,False,False
67,Trevor Obst:(December 2015)::Vigor Bovolenta:X; X is March 2012,March 2012,True,True
68,Vigor Bovolenta:(March 2012)::Robert B. Rheault:X; X is May 2014,October 2013,False,True
69,Robert B. Rheault:(October 2013)::Christine D'Haen:X; X is October 2013,September 2009,False,True
70,Christine D'Haen:(September 2009)::George DiCenzo:X; X is August 2010,August 2010,False,False
71,George DiCenzo:(August 2010)::Gordon Mowrer:X; X is March 2014,July 2016,False,True
72,Gordon Mowrer:(July 2016)::John Hill:X; X is December 2007,December 2007,False,False
73,John Hill:(December 2007)::Omar Mateen:X; X is February 2012,June 2016,True,False
74,Omar Mateen:(June 2016)::Robert Gammage:X; X is September 2012,September 2012,True,True
