,Prompt,Correct Object,GPT-reply,Status
0,Joaquin Balaguer:(1906-09-01)::Haile Gebrselassie:X; X is 1973-04-18,1973-04-18,True,True
1,Haile Gebrselassie:(1973-04-18)::Mike Mussina:X; X is 1963-04-09,1968-12-08,False,True
2,Mike Mussina:(1968-12-08)::Tim Montgomery:X; X is 1934-10-12,1975-01-25,False,True
3,Tim Montgomery:(1975-01-25)::Larry Kramer:X; X is 1935-06-25,1935-06-25,True,True
4,Larry Kramer:(1935-06-25)::Jon Pareles:X; X is 1953-10-25,1953-10-25,True,True
5,Jon Pareles:(1953-10-25)::Jack F Kemp:X; X is 1935-07-13,1935-07-13,False,False
6,Jack F Kemp:(1935-07-13)::William Hurt:X; X is 1950-03-20,1950-03-20,True,True
7,William Hurt:(1950-03-20)::Michael G Oxley:X; X is 1959-02-05,1944-02-11,False,True
8,Michael G Oxley:(1944-02-11)::Richard Krajicek:X; X is 1949-09-23,1971-12-06,False,True
9,Richard Krajicek:(1971-12-06)::Alvin Ailey:X; X is 1963-03-19,1931-01-05,False,True
10,Alvin Ailey:(1931-01-05)::Peter G Peterson:X; X is 1948-04-03,1926-06-05,False,True
11,Peter G Peterson:(1926-06-05)::Monica Goodling:X; X is 1926-08-13,1973-08-06,False,True
12,Monica Goodling:(1973-08-06)::Sugar Ray Leonard:X; X is 1956-05-17,1956-05-17,True,True
13,Sugar Ray Leonard:(1956-05-17)::Thomas von Essen:X; X is 1892-12-04,1945-01-01,False,True
14,Thomas von Essen:(1945-01-01)::Gioacchino Rossini:X; X is 1936-09-21,1792-02-29,False,True
15,Gioacchino Rossini:(1792-02-29)::Mike Johanns:X; X is 1950-06-18,1950-06-18,True,True
16,Mike Johanns:(1950-06-18)::Joshua B Bolten:X; X is 1931-01-06,1954-08-16,False,True
17,Joshua B Bolten:(1954-08-16)::George J Mitchell:X; X is 1933-08-20,1933-08-20,False,False
18,George J Mitchell:(1933-08-20)::Rusty Hardin:X; X is 1929-08-24,1941-10-06,False,True
19,Rusty Hardin:(1941-10-06)::Dieter Zetsche:X; X is 1944-12-02,1953-05-05,True,False
20,Dieter Zetsche:(1953-05-05)::Yelena Berezhnaya:X; X is 1977-10-11,1977-10-11,True,True
21,Yelena Berezhnaya:(1977-10-11)::Tyson Gay:X; X is 1956-07-21,1982-08-09,False,True
22,Tyson Gay:(1982-08-09)::Rob Portman:X; X is 1935-05-01,1955-12-19,False,True
23,Rob Portman:(1955-12-19)::Tito Puente:X; X is 1923-04-20,1923-04-20,True,True
24,Tito Puente:(1923-04-20)::Bette Midler:X; X is 1935-12-21,1945-12-01,False,True
25,Bette Midler:(1945-12-01)::Thomas Keller:X; X is 1969-05-01,1955-10-14,False,True
26,Thomas Keller:(1955-10-14)::Theo Fleury:X; X is 1968-06-29,1968-06-29,True,True
27,Theo Fleury:(1968-06-29)::Bartolo Colon:X; X is 1958-07-31,1973-05-24,False,True
28,Bartolo Colon:(1973-05-24)::Susilo Bambang Yudhoyono:X; X is 1915-05-06,1949-09-09,False,True
29,Susilo Bambang Yudhoyono:(1949-09-09)::Jeremy Roenick:X; X is 1926-08-15,1970-01-17,False,True
30,Jeremy Roenick:(1970-01-17)::Thomas R Pickering:X; X is 1931-11-05,1931-11-05,False,False
31,Thomas R Pickering:(1931-11-05)::Luis Echeverria:X; X is 1933-02-10,1922-01-17,False,True
32,Luis Echeverria:(1922-01-17)::Neil Gaiman:X; X is 1960-11-10,1960-11-10,True,True
33,Neil Gaiman:(1960-11-10)::John Kerry:X; X is 1943-12-11,1943-12-11,True,True
34,John Kerry:(1943-12-11)::Tony Phillips:X; X is 1959-04-25,1959-04-25,True,True
35,Tony Phillips:(1959-04-25)::Juan Carlos Ferrero:X; X is 1980-02-12,1980-02-12,True,True
36,Juan Carlos Ferrero:(1980-02-12)::Diana Ross:X; X is 1944-03-26,1944-03-26,True,True
37,Diana Ross:(1944-03-26)::Cate Blanchett:X; X is 1969-05-14,1969-05-14,True,True
38,Cate Blanchett:(1969-05-14)::Desmond M Tutu:X; X is 1873-12-07,1931-10-07,False,True
39,Desmond M Tutu:(1931-10-07)::Martin McDonagh:X; X is 1930-10-17,1970-03-26,False,True
40,Martin McDonagh:(1970-03-26)::Tyrone Wheatley:X; X is 1945-01-01,1972-01-19,False,True
41,Tyrone Wheatley:(1972-01-19)::Edith Wharton:X; X is 1932-02-04,1862-01-24,False,True
42,Edith Wharton:(1862-01-24)::Tie Domi:X; X is 1927-03-27,1969-11-01,False,True
43,Tie Domi:(1969-11-01)::Gordon Parks:X; X is 1978-08-23,1912-11-30,False,True
44,Gordon Parks:(1912-11-30)::Franz Joseph Haydn:X; X is 1732-03-31,1732-03-31,True,True
45,Franz Joseph Haydn:(1732-03-31)::Miles Davis:X; X is 1926-05-26,1926-05-26,True,True
46,Miles Davis:(1926-05-26)::Jeffrey K Skilling:X; X is 1923-06-17,1953-11-25,False,True
47,Jeffrey K Skilling:(1953-11-25)::Martin Tankleff:X; X is 1937-12-31,1971-08-29,False,True
48,Martin Tankleff:(1971-08-29)::Seamus Heaney:X; X is 1970-10-26,1939-04-13,False,True
49,Seamus Heaney:(1939-04-13)::Graciela Daniele:X; X is 1939-12-08,1939-12-08,True,True
50,Graciela Daniele:(1939-12-08)::Isabelle Autissier:X; X is 1956-10-18,1956-10-18,True,True
51,Isabelle Autissier:(1956-10-18)::Harvey Fierstein:X; X is 1959-08-17,1952-06-06,False,True
52,Harvey Fierstein:(1952-06-06)::Felix Mendelssohn:X; X is 1932-02-18,1809-02-03,False,True
53,Felix Mendelssohn:(1809-02-03)::Edward Hopper:X; X is 1944-06-26,1882-07-22,False,True
54,Edward Hopper:(1882-07-22)::Jerry Reinsdorf:X; X is 1938-06-19,1936-02-25,False,True
55,Jerry Reinsdorf:(1936-02-25)::Pete Hamill:X; X is 1935-07-07,1935-06-24,False,True
56,Pete Hamill:(1935-06-24)::Luis Sojo:X; X is 1926-08-15,1966-01-03,False,True
57,Luis Sojo:(1966-01-03)::Lance Armstrong:X; X is 1835-11-25,1971-09-18,False,True
58,Lance Armstrong:(1971-09-18)::Joe Roth:X; X is 1887-07-28,1948-06-13,False,True
59,Joe Roth:(1948-06-13)::Elvis Costello:X; X is 1954-08-25,1954-08-25,True,True
60,Elvis Costello:(1954-08-25)::D J R Bruckner:X; X is 1963-03-19,1933-11-26,False,True
61,D J R Bruckner:(1933-11-26)::Donny Deutsch:X; X is 1954-04-12,1957-11-22,False,True
62,Donny Deutsch:(1957-11-22)::David A Kessler:X; X is 1968-09-13,1951-05-13,False,True
63,David A Kessler:(1951-05-13)::Isaac Bashevis Singer:X; X is 1902-11-21,1902-11-21,False,False
64,Isaac Bashevis Singer:(1902-11-21)::Don Johnson:X; X is 1949-12-15,1949-12-15,True,True
