,Prompt,Correct Object,GPT-reply,Status
0,Sergiu Celibidache:(CONDUCTOR)::Henry Ian Cusick:X; X is ACTOR,ACTOR,True,True
1,Henry Ian Cusick:(ACTOR)::César Cui:X; X is COMPOSER,COMPOSER,True,True
2,César Cui:(COMPOSER)::Solomon Burke:X; X is SINGER,SINGER,True,True
3,Solomon Burke:(SINGER)::Hans Blix:X; X is MILITARY PERSONNEL,DIPLOMAT,False,True
4,Hans Blix:(DIPLOMAT)::Kazuo Ishiguro:X; X is WRITER,WRITER,True,True
5,Kazuo Ishiguro:(WRITER)::Eduardo da Silva:X; X is SOCCER PLAYER,SOCCER PLAYER,True,True
6,Eduardo da Silva:(SOCCER PLAYER)::Anne Frank:X; X is WRITER,WRITER,True,True
7,Anne Frank:(WRITER)::Béla Kun:X; X is POLITICIAN,POLITICIAN,True,True
8,Béla Kun:(POLITICIAN)::Raymond Barre:X; X is GYMNAST,ECONOMIST,False,True
9,Raymond Barre:(ECONOMIST)::Ivan Krylov:X; X is SOCIAL ACTIVIST,WRITER,False,True
10,Ivan Krylov:(WRITER)::Pierre-Gilles de Gennes:X; X is PHYSICIST,PHYSICIST,True,True
11,Pierre-Gilles de Gennes:(PHYSICIST)::Jane Krakowski:X; X is ACTOR,ACTOR,True,True
12,Jane Krakowski:(ACTOR)::Pat Morita:X; X is ACTOR,ACTOR,True,True
13,Pat Morita:(ACTOR)::Elizabeth Banks:X; X is ACTOR,ACTOR,True,True
14,Elizabeth Banks:(ACTOR)::Edward Teller:X; X is ARCHITECT,PHYSICIST,False,True
15,Edward Teller:(PHYSICIST)::Carl Czerny:X; X is COMPOSER,COMPOSER,True,True
16,Carl Czerny:(COMPOSER)::Edgar Allan Poe:X; X is WRITER,WRITER,True,True
17,Edgar Allan Poe:(WRITER)::Philip José Farmer:X; X is POLITICIAN,WRITER,False,True
18,Philip José Farmer:(WRITER)::Zubin Mehta:X; X is SWIMMER,CONDUCTOR,False,True
19,Zubin Mehta:(CONDUCTOR)::Salvador Luria:X; X is BIOLOGIST,BIOLOGIST,True,True
20,Salvador Luria:(BIOLOGIST)::Dolph Lundgren:X; X is ACTOR,ACTOR,True,True
21,Dolph Lundgren:(ACTOR)::Kirk Hammett:X; X is MUSICIAN,MUSICIAN,True,True
22,Kirk Hammett:(MUSICIAN)::Ben Gazzara:X; X is COMPOSER,ACTOR,False,True
23,"Ben Gazzara:(ACTOR)::Charles the Bald, Holy Roman Emperor:X; X is COMPOSER",POLITICIAN,False,True
24,"Charles the Bald, Holy Roman Emperor:(POLITICIAN)::Jean-Philippe Rameau:X; X is ASTRONOMER",COMPOSER,False,True
25,Jean-Philippe Rameau:(COMPOSER)::Abdülmecid II:X; X is WRITER,POLITICIAN,False,True
