Prompt,Analogical Answer,Technical Answer,Response,Status
Kirsten Dunst:(ACTOR)::Ali al-Masudi:X,Historian,WRITER,HISTORIAN,Analogically Correct
Kirsten Dunst:(ACTOR)::Carlo Borromeo:X,Roman Catholic Cardinal,RELIGIOUS FIGURE,Saint,Fully Wrong
Kirsten Dunst:(ACTOR)::Antoninus Pius:X,Emperor of Rome,POLITICIAN,Roman Emperor,Fully Wrong
Georges Brassens:(SINGER)::Antoninus Pius:X,Emperor of Rome,POLITICIAN,Roman emperor,Fully Wrong
Georges Brassens:(SINGER)::Pope Martin I:X,Pope Martin I was a clergyman,RELIGIOUS FIGURE,Pope Martin I is a religious figure.,Technically Correct
Georges Brassens:(SINGER)::Yannis Ritsos:X,Poet,SOCIAL ACTIVIST,POET,Analogically Correct
Georges Brassens:(SINGER)::Johannes Andreas Grib Fibiger:X,Physiologist,PHYSICIAN,Nobel laureate,Fully Wrong
Emil Cioran:(PHILOSOPHER)::Ali al-Masudi:X,Historian,WRITER,Historian.,Analogically Correct
Emil Cioran:(PHILOSOPHER)::Carlo Borromeo:X,Roman Catholic Cardinal,RELIGIOUS FIGURE,Saint,Fully Wrong
Emil Cioran:(PHILOSOPHER)::Antoninus Pius:X,Emperor of Rome,POLITICIAN,Roman emperor,Fully Wrong
Emil Cioran:(PHILOSOPHER)::Pope Martin I:X,Pope Martin I was a clergyman,RELIGIOUS FIGURE,Pope Martin I:(SAINT),Fully Wrong
Emil Cioran:(PHILOSOPHER)::Yannis Ritsos:X,Poet,SOCIAL ACTIVIST,POET,Analogically Correct
Georges Brassens:(SINGER)::Valdis Zatlers:X,Valdis Zatlers is a physician,POLITICIAN,President,Fully Wrong
Kirsten Dunst:(ACTOR)::Pope Martin I:X,Pope Martin I was a clergyman,RELIGIOUS FIGURE,POPE,Analogically Correct
Kirsten Dunst:(ACTOR)::Yannis Ritsos:X,Poet,SOCIAL ACTIVIST,POET,Analogically Correct
Kirsten Dunst:(ACTOR)::Johannes Andreas Grib Fibiger:X,Physiologist,PHYSICIAN,Nobel laureate,Fully Wrong
Kirsten Dunst:(ACTOR)::Valdis Zatlers:X,Valdis Zatlers is a physician,POLITICIAN,X is POLITICIAN.,Technically Correct
Kirsten Dunst:(ACTOR)::Gianfranco Zola:X,Football manager,SOCCER PLAYER,FOOTBALLER,Fully Wrong
Kirsten Dunst:(ACTOR)::Željko Joksimović:X,Singer and songwriter,MUSICIAN,MUSICIAN,Technically Correct
Kirsten Dunst:(ACTOR)::Ish-bosheth:X,King of Israel,POLITICIAN,King,Analogically Correct
Kirsten Dunst:(ACTOR)::Edward VII of the United Kingdom:X,King of the United Kingdom,NOBLEMAN,Kirsten Dunst:(ACTOR)::Edward VII of the United Kingdom:MONARCH.,Fully Wrong
Kirsten Dunst:(ACTOR)::Daniel Jarque:X,Professional footballer,SOCCER PLAYER,Daniel Jarque:(FOOTBALLER),Fully Wrong
Georges Brassens:(SINGER)::Ali al-Masudi:X,Historian,WRITER,HISTORIAN.,Analogically Correct
Georges Brassens:(SINGER)::Carlo Borromeo:X,Roman Catholic Cardinal,RELIGIOUS FIGURE,Saint,Fully Wrong
Georges Brassens:(SINGER)::Gianfranco Zola:X,Football manager,SOCCER PLAYER,SOCCER PLAYER,Technically Correct
Georges Brassens:(SINGER)::William IX, Duke of Aquitaine:X,Poet and troubadour,NOBLEMAN,POET.,Fully Wrong
Georges Brassens:(SINGER)::Željko Joksimović:X,Singer and songwriter,MUSICIAN,MUSICIAN,Technically Correct
Georges Brassens:(SINGER)::Ish-bosheth:X,King of Israel,POLITICIAN,Saul (SON OF KING SAUL),Fully Wrong
Georges Brassens:(SINGER)::Edward VII of the United Kingdom:X,King of the United Kingdom,NOBLEMAN,KING,Analogically Correct
Emil Cioran:(PHILOSOPHER)::William IX, Duke of Aquitaine:X,Poet and troubadour,NOBLEMAN,POET,Analogically Correct
Georges Brassens:(SINGER)::Daniel Jarque:X,Professional footballer,SOCCER PLAYER,Daniel Jarque:(FOOTBALLER),Fully Wrong
Emil Cioran:(PHILOSOPHER)::Johannes Andreas Grib Fibiger:X,Physiologist,PHYSICIAN,Physiologist,Analogically Correct
Emil Cioran:(PHILOSOPHER)::Valdis Zatlers:X,Valdis Zatlers is a physician,POLITICIAN,President,Fully Wrong
Kirsten Dunst:(ACTOR)::William IX, Duke of Aquitaine:X,Poet and troubadour,NOBLEMAN,Troubadour,Analogically Correct
